MeV,keV,coherent,incoherent,photoelectric effect,PP_n,PP_e,tot(cm2/g)
0.001,1,7.946,0.005041,7919,0,0,7927
0.001003,1.003,7.944,0.005065,7868,0,0,7876
0.001006,1.00599,7.942,0.005089,7817,0,0,7825
0.001006,1.006,7.942,0.005089,8005,0,0,8013
0.0015,1.5,7.527,0.009294,3283,0,0,3291
0.002,2,7.063,0.01353,1657,0,0,1664
0.003,3,6.155,0.02151,608.5,0,0,614.6
0.003537,3.53699,5.709,0.02546,400.3,0,0,406
0.003537,3.537,5.709,0.02546,772.4,0,0,778.2
0.003631,3.631,5.635,0.02612,723.9,0,0,729.6
0.003727,3.72699,5.561,0.02679,678.2,0,0,683.8
0.003727,3.727,5.561,0.02679,854.4,0,0,860
0.004,4,5.352,0.02866,717.6,0,0,723
0.004018,4.01799,5.338,0.02878,709.6,0,0,715
0.004018,4.018,5.338,0.02878,789.2,0,0,794.5
0.004177,4.177,5.222,0.02983,715.8,0,0,721.1
0.004341,4.34099,5.105,0.03091,649.3,0,0,654.4
0.004341,4.341,5.105,0.03091,925.9,0,0,931.1
0.004475,4.475,5.013,0.03177,864.6,0,0,869.7
0.004612,4.61199,4.921,0.03264,807.4,0,0,812.3
0.004612,4.612,4.921,0.03264,937.6,0,0,942.6
0.004773,4.773,4.814,0.03365,863.3,0,0,868.2
0.004939,4.93899,4.707,0.03468,795,0,0,799.7
0.004939,4.939,4.707,0.03468,860.5,0,0,865.2
0.005,5,4.669,0.03505,834.5,0,0,839.2
0.006,6,4.097,0.04085,524.4,0,0,528.6
0.008,8,3.226,0.05121,245.9,0,0,249.2
0.01,10,2.624,0.06007,135.4,0,0,138.1
0.015,15,1.726,0.07645,44.76,0,0,46.56
0.02,20,1.214,0.08712,20.14,0,0,21.44
0.02671,26.7099,0.8112,0.09657,8.924,0,0,9.832
0.02671,26.71,0.8112,0.09657,28.52,0,0,29.43
0.03,30,0.6855,0.09984,21.04,0,0,21.82
0.03181,31.8099,0.6292,0.1014,18.01,0,0,18.74
0.03181,31.81,0.6292,0.1014,34.21,0,0,34.94
0.04,40,0.4473,0.1065,18.75,0,0,19.3
0.05,50,0.317,0.11,10.24,0,0,10.67
0.06,60,0.2358,0.1117,6.195,0,0,6.542
0.08,80,0.1444,0.112,2.763,0,0,3.019
0.1,100,0.09781,0.1103,1.463,0,0,1.671
0.15,150,0.04751,0.1038,0.456,0,0,0.6072
0.2,200,0.02805,0.09715,0.1994,0,0,0.3246
0.3,300,0.01305,0.08624,0.06353,0,0,0.1628
0.4,400,0.00751,0.07803,0.02917,0,0,0.1147
0.5,500,0.004868,0.07164,0.01641,0,0,0.09291
0.6,600,0.00341,0.06652,0.01049,0,0,0.08042
0.8,800,0.001937,0.05864,0.005425,0,0,0.066
1,1000,0.001246,0.05279,0.003387,0,0,0.05742
